observed_date,licensee,service,assignment_count
2026-08-22,MARITIME NEW ZEALAND,Maritime,197
2026-08-22,Fire and Emergency New Zealand,Land Mobile,193
2026-08-22,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,182
2026-08-22,"STARLINK NEW ZEALAND, UNLIMITED LIABILITY COMPANY",Satellite & Space,180
2026-08-22,TAIT INTERNATIONAL LIMITED,Land Mobile,179
2026-08-22,COLVINS LIMITED,Land Mobile,164
2026-08-22,CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,162
2026-08-22,GISBORNE.NET.N.Z. LIMITED,Fixed Link,162
2026-08-22,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Fixed Link,161
2026-08-22,NZ DEFENCE FORCE HEADQUARTERS,Aeronautical,160
2026-08-22,MARLBOROUGH LINES LIMITED,Land Mobile,157
2026-08-22,INSPIRE NET LIMITED,Land Mobile,154
2026-08-22,Spotlight NZ,Land Mobile,154
2026-08-22,SIGNALS NZ 2025 LIMITED,Land Mobile,153
2026-08-22,SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,152
2026-08-22,WATERCARE SERVICES LTD,Fixed Link,152
2026-08-22,NELSPECS LIMITED,Land Mobile,149
2026-08-22,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,149
2026-08-22,AMAZON KUIPER NEW ZEALAND LIMITED,Satellite & Space,141
2026-08-22,LIGHTWIRE LIMITED,Spectrum Licence,137
2026-08-22,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Land Mobile,137
2026-08-22,DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,134
2026-08-22,ENHANCED SOLUTIONS LIMITED,Fixed Link,133
2026-08-22,NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,132
2026-08-22,WEL NETWORKS LIMITED,Fixed Link,129
2026-08-22,INSPIRE NET LIMITED,Fixed Link,126
2026-08-22,RADIO SYSTEMS LIMITED,Land Mobile,125
2026-08-22,Unifone New Zealand Limited,Fixed Link,122
2026-08-22,TŪ ĀTEA NETWORK SERVICES LIMITED,Paging,120
2026-08-22,AMURI NET LIMITED,Spectrum Licence,117
2026-08-22,TELETRONICS LIMITED,Land Mobile,117
2026-08-22,NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,115
2026-08-22,COGENT LIMITED,Land Mobile,113
2026-08-22,DEPARTMENT OF CONSERVATION,Fixed Link,106
2026-08-22,PRIMOWIRELESS LIMITED,Fixed Link,106
2026-08-22,CHATR COMMUNICATIONS LIMITED,Land Mobile,104
2026-08-22,MARLBOROUGH DISTRICT COUNCIL,Fixed Link,100
2026-08-22,RHEMA MEDIA INCORPORATED,Broadcasting,99
2026-08-22,NZ RED CROSS INC SOCIETY (NATIONAL OFFICE),Land Mobile,98
2026-08-22,TOP ENERGY,Land Mobile,98
2026-08-22,LIGHTWIRE LIMITED,Land Mobile,96
2026-08-22,OCEANA GOLD (NEW ZEALAND) LIMITED,Land Mobile,96
2026-08-22,Downer New Zealand Limited,Fixed Link,95
2026-08-22,St John,Paging,94
2026-08-22,ALCOM COMMUNICATION SERVICES LIMITED,Land Mobile,92
2026-08-22,CITY COMMS LIMITED,Land Mobile,92
2026-08-22,CHRISTCHURCH CITY COUNCIL,Land Mobile,91
2026-08-22,WEL NETWORKS LIMITED,Land Mobile,91
2026-08-22,FONTERRA CO-OPERATIVE GROUP LIMITED,Land Mobile,89
2026-08-22,AIR NEW ZEALAND LIMITED,Land Mobile,88
2026-08-22,AMURI NET LIMITED,Fixed Link,88
2026-08-22,NZ DEFENCE FORCE HEADQUARTERS,Maritime,86
2026-08-22,POWERNET LIMITED,Fixed Link,86
2026-08-22,TAUMATA PLANTATIONS LIMITED,Land Mobile,84
2026-08-22,COMMUNICATE LIMITED,Land Mobile,83
2026-08-22,ULTIMATE MOBILE LIMITED,Spectrum Licence,83
2026-08-22,MAINPOWER NEW ZEALAND LTD,Land Mobile,79
2026-08-22,ULTIMATE MOBILE LIMITED,Fixed Link,78
2026-08-22,WIZWIRELESS LIMITED,Fixed Link,76
2026-08-22,MANAWATU-WANGANUI REGIONAL COUNCIL,Land Mobile,74
2026-08-22,Fire and Emergency New Zealand,Fixed Link,73
2026-08-22,PORT OF TAURANGA LIMITED,Land Mobile,70
2026-08-22,ORION NEW ZEALAND LTD,Land Mobile,67
2026-08-22,OMV NEW ZEALAND LIMITED,Land Mobile,66
2026-08-22,MARLBOROUGH LINES LIMITED,Fixed Link,63
2026-08-22,VECTOR LIMITED,Land Mobile,63
2026-08-22,AURORA ENERGY LIMITED,Fixed Link,62
2026-08-22,NORTHPOWER LIMITED,Land Mobile,62
2026-08-22,COUNTIES ENERGY LIMITED,Land Mobile,61
2026-08-22,MINISTRY OF JUSTICE - COURT SECURITY,Paging,60
2026-08-22,AURORA ENERGY LIMITED,Land Mobile,59
2026-08-22,GENESIS ENERGY LIMITED,Fixed Link,59
2026-08-22,SKY NETWORK TELEVISION LIMITED,Satellite & Space,59
2026-08-22,MERIDIAN ENERGY LIMITED,Land Mobile,58
2026-08-22,WELLINGTON WATER LIMITED,Fixed Link,58
2026-08-22,HAMILTON CITY COUNCIL,Land Mobile,51
2026-08-22,MOUNT CAMPBELL CONNECT LIMITED,Fixed Link,51
2026-08-22,NZ DEFENCE FORCE HEADQUARTERS,Radiodetermination,50
2026-08-22,THE LINES CO LTD,Land Mobile,50
2026-08-22,WELLINGTON WATER LIMITED,Land Mobile,49
2026-08-22,NZME RADIO LIMITED,Land Mobile,48
2026-08-22,TOP ENERGY,Fixed Link,48
2026-08-22,Unifone New Zealand Limited,Spectrum Licence,46
2026-08-22,ASHLEY COMMUNICATIONS LIMITED,Fixed Link,45
2026-08-22,ALPINE ENERGY LTD,Land Mobile,44
2026-08-22,NETWORK WAITAKI LTD,Land Mobile,44
2026-08-22,ALPINE ENERGY LTD,Fixed Link,42
2026-08-22,NETWORK WAITAKI LTD,Fixed Link,42
2026-08-22,AIR NEW ZEALAND LIMITED,Aeronautical,40
2026-08-22,KORDIA LIMITED,Broadcasting,40
2026-08-22,NORTHPOWER LIMITED,Fixed Link,40
2026-08-22,ENHANCED SOLUTIONS LIMITED,Spectrum Licence,38
2026-08-22,THE LINES CO LTD,Fixed Link,38
2026-08-22,VECTOR LIMITED,Fixed Link,37
2026-08-22,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Fixed Link,36
2026-08-22,TELEVISION NEW ZEALAND LIMITED,Satellite & Space,36
2026-08-22,GENESIS ENERGY LIMITED,Land Mobile,34
2026-08-22,MAINPOWER NEW ZEALAND LTD,Fixed Link,34
2026-08-22,ENTAIN NEW ZEALAND LIMITED,Outside Broadcast,33
2026-08-22,MINISTRY OF JUSTICE - COURT SECURITY,Land Mobile,32
2026-08-22,POWERNET LIMITED,Land Mobile,32
2026-08-22,COUNTIES ENERGY LIMITED,Fixed Link,31
2026-08-22,MARITIME NEW ZEALAND,Fixed Link,30
2026-08-22,SKY NETWORK TELEVISION LIMITED,Broadcasting,30
2026-08-22,TELEVISION NEW ZEALAND LIMITED,Broadcasting,30
2026-08-22,MERIDIAN ENERGY LIMITED,Fixed Link,29
2026-08-22,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Fixed Link,29
2026-08-22,TELEVISION NEW ZEALAND LIMITED,Outside Broadcast,27
2026-08-22,COLVINS LIMITED,Fixed Link,26
2026-08-22,ENTAIN NEW ZEALAND LIMITED,Broadcasting,26
2026-08-22,HAMILTON CITY COUNCIL,Fixed Link,26
2026-08-22,INSPIRE NET LIMITED,Spectrum Licence,26
2026-08-22,GENESIS ENERGY LIMITED,Telemetry & Telecommand,23
2026-08-22,MARLBOROUGH DISTRICT COUNCIL,Land Mobile,23
2026-08-22,WIZWIRELESS LIMITED,Spectrum Licence,22
2026-08-22,ENTAIN NEW ZEALAND LIMITED,Fixed Link,21
2026-08-22,KORDIA LIMITED,Land Mobile,20
2026-08-22,OMV NEW ZEALAND LIMITED,Fixed Link,18
2026-08-22,MANAWATU-WANGANUI REGIONAL COUNCIL,Fixed Link,16
2026-08-22,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Outside Broadcast,16
2026-08-22,TAUMATA PLANTATIONS LIMITED,Fixed Link,16
2026-08-22,WATERCARE SERVICES LTD,Telemetry & Telecommand,15
2026-08-22,ALCOM COMMUNICATION SERVICES LIMITED,Fixed Link,14
2026-08-22,CHRISTCHURCH CITY COUNCIL,Fixed Link,14
2026-08-22,COMMUNICATE LIMITED,Fixed Link,14
2026-08-22,GISBORNE.NET.N.Z. LIMITED,Spectrum Licence,14
2026-08-22,KORDIA LIMITED,Outside Broadcast,14
2026-08-22,AMURI NET LIMITED,Land Mobile,12
2026-08-22,CHRISTCHURCH CITY COUNCIL,Spectrum Licence,12
2026-08-22,PRIMOWIRELESS LIMITED,Spectrum Licence,12
2026-08-22,HAMILTON CITY COUNCIL,Telemetry & Telecommand,10
2026-08-22,MARLBOROUGH DISTRICT COUNCIL,Maritime,10
2026-08-22,KORDIA LIMITED,Maritime,9
2026-08-22,OCEANA GOLD (NEW ZEALAND) LIMITED,Fixed Link,9
2026-08-22,SPARK NEW ZEALAND TRADING LIMITED,Land Mobile,9
2026-08-22,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Fixed Link,8
2026-08-22,OMV NEW ZEALAND LIMITED,Radiodetermination,8
2026-08-22,RHEMA MEDIA INCORPORATED,Fixed Link,8
2026-08-22,SPARK NEW ZEALAND TRADING LIMITED,Satellite & Space,8
2026-08-22,TAIT INTERNATIONAL LIMITED,Fixed Link,8
2026-08-22,TELEVISION NEW ZEALAND LIMITED,Fixed Link,8
2026-08-22,NELSPECS LIMITED,Fixed Link,7
2026-08-22,OMV NEW ZEALAND LIMITED,Aeronautical,7
2026-08-22,PORT OF TAURANGA LIMITED,Fixed Link,7
2026-08-22,PORT OF TAURANGA LIMITED,Maritime,7
2026-08-22,RADIO NEW ZEALAND LIMITED,Fixed Link,7
2026-08-22,VITAL LIMITED,Maritime,7
2026-08-22,CANTERBURY COMMUNICATIONS LIMITED,Fixed Link,6
2026-08-22,FONTERRA CO-OPERATIVE GROUP LIMITED,Fixed Link,6
2026-08-22,KORDIA LIMITED,Satellite & Space,6
2026-08-22,MEDIAWORKS RADIO LIMITED,Satellite & Space,6
2026-08-22,TELETRONICS LIMITED,Fixed Link,6
2026-08-22,MARITIME NEW ZEALAND,Aeronautical,5
2026-08-22,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Satellite & Space,4
2026-08-22,CSE NEW ZEALAND LIMITED,Fixed Link,4
2026-08-22,FONTERRA CO-OPERATIVE GROUP LIMITED,Telemetry & Telecommand,4
2026-08-22,NZ DEFENCE FORCE HEADQUARTERS,Paging,4
2026-08-22,NZ DEFENCE FORCE HEADQUARTERS,Telemetry & Telecommand,4
2026-08-22,PORT OF TAURANGA LIMITED,Telemetry & Telecommand,4
2026-08-22,POWERCO LIMITED,Telemetry & Telecommand,4
2026-08-22,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Land Mobile,4
2026-08-22,SPACE OPERATIONS NEW ZEALAND LIMITED,Fixed Link,4
2026-08-22,TŪ ĀTEA NETWORK SERVICES LIMITED,Land Mobile,4
2026-08-22,CSE NEW ZEALAND LIMITED,Telemetry & Telecommand,3
2026-08-22,MARLBOROUGH DISTRICT COUNCIL,Meteorological,3
2026-08-22,MEDIAWORKS RADIO LIMITED,Land Mobile,3
2026-08-22,RADIO NEW ZEALAND LIMITED,Land Mobile,3
2026-08-22,VITAL LIMITED,Aeronautical,3
2026-08-22,AIR NEW ZEALAND LIMITED,Fixed Link,2
2026-08-22,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Land Mobile,2
2026-08-22,Downer New Zealand Limited,Paging,2
2026-08-22,ENHANCED SOLUTIONS LIMITED,Land Mobile,2
2026-08-22,KIWIRAIL LTD,Telemetry & Telecommand,2
2026-08-22,MANAWATU-WANGANUI REGIONAL COUNCIL,Telemetry & Telecommand,2
2026-08-22,MERIDIAN ENERGY LIMITED,Telemetry & Telecommand,2
2026-08-22,MOUNT CAMPBELL CONNECT LIMITED,Maritime,2
2026-08-22,NELSPECS LIMITED,Maritime,2
2026-08-22,National Emergency Management Agency,Fixed Link,2
2026-08-22,RHEMA MEDIA INCORPORATED,Satellite & Space,2
2026-08-22,RURAL CONNECTIVITY GROUP LIMITED,Satellite & Space,2
2026-08-22,SIGNALS NZ 2025 LIMITED,Fixed Link,2
2026-08-22,TELEVISION NEW ZEALAND LIMITED,Land Mobile,2
2026-08-22,TWO DEGREES NETWORKS LIMITED,Satellite & Space,2
2026-08-22,WELLINGTON WATER LIMITED,Telemetry & Telecommand,2
2026-08-22,WIZWIRELESS LIMITED,Land Mobile,2
2026-08-22,AIR NEW ZEALAND LIMITED,Paging,1
2026-08-22,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Paging,1
2026-08-22,ASHLEY COMMUNICATIONS LIMITED,Aeronautical,1
2026-08-22,CSE NEW ZEALAND LIMITED,Aeronautical,1
2026-08-22,CSE NEW ZEALAND LIMITED,Paging,1
2026-08-22,DEPARTMENT OF CONSERVATION,Telemetry & Telecommand,1
2026-08-22,Downer New Zealand Limited,Maritime,1
2026-08-22,Downer New Zealand Limited,Meteorological,1
2026-08-22,ENTAIN NEW ZEALAND LIMITED,Telemetry & Telecommand,1
2026-08-22,FONTERRA CO-OPERATIVE GROUP LIMITED,Paging,1
2026-08-22,Fire and Emergency New Zealand,Telemetry & Telecommand,1
2026-08-22,GENESIS ENERGY LIMITED,Paging,1
2026-08-22,KORDIA LIMITED,Telemetry & Telecommand,1
2026-08-22,MARLBOROUGH DISTRICT COUNCIL,Paging,1
2026-08-22,OCEANA GOLD (NEW ZEALAND) LIMITED,Paging,1
2026-08-22,PORT OF TAURANGA LIMITED,Radiodetermination,1
2026-08-22,SIGNALS NZ 2025 LIMITED,Maritime,1
2026-08-23,ONE NEW ZEALAND GROUP LIMITED,Spectrum Licence,11183
2026-08-23,SPARK NEW ZEALAND TRADING LIMITED,Spectrum Licence,9357
2026-08-23,TWO DEGREES NETWORKS LIMITED,Spectrum Licence,7836
2026-08-23,CHORUS NEW ZEALAND LIMITED,Fixed Link,3107
2026-08-23,VITAL LIMITED,Land Mobile,2099
2026-08-23,EONFIBRE LIMITED,Fixed Link,2052
2026-08-23,KIWIRAIL,Land Mobile,1641
2026-08-23,KORDIA LIMITED,Fixed Link,1386
2026-08-23,RURAL CONNECTIVITY GROUP LIMITED,Spectrum Licence,1252
2026-08-23,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",Broadcasting,1079
2026-08-23,TWO DEGREES NETWORKS LIMITED,Fixed Link,970
2026-08-23,SPARK NEW ZEALAND TRADING LIMITED,Fixed Link,794
2026-08-23,VITAL LIMITED,Fixed Link,726
2026-08-23,SPACE OPERATIONS NEW ZEALAND LIMITED,Satellite & Space,681
2026-08-23,ASHLEY COMMUNICATIONS LIMITED,Land Mobile,613
2026-08-23,ENTAIN NEW ZEALAND LIMITED,Land Mobile,583
2026-08-23,EVERY PERSON,General User Licence,576
2026-08-23,POWERCO LIMITED,Land Mobile,565
2026-08-23,ISO LIMITED,Land Mobile,555
2026-08-23,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Land Mobile,549
2026-08-23,KIWIRAIL LTD,Land Mobile,548
2026-08-23,CSE NEW ZEALAND LIMITED,Land Mobile,441
2026-08-23,TAIT SYSTEMS NZ LIMITED,Fixed Link,433
2026-08-23,LIGHTWIRE LIMITED,Fixed Link,420
2026-08-23,T L PARKER LIMITED,Land Mobile,409
2026-08-23,DEPARTMENT OF CONSERVATION,Land Mobile,408
2026-08-23,NZ DEFENCE FORCE HEADQUARTERS,Fixed Link,397
2026-08-23,POWERCO LIMITED,Fixed Link,375
2026-08-23,Downer New Zealand Limited,Land Mobile,349
2026-08-23,SPARK NEW ZEALAND TRADING LIMITED,Paging,347
2026-08-23,National Emergency Management Agency,Land Mobile,344
2026-08-23,KIWIRAIL,Fixed Link,311
2026-08-23,MOBICOMM LIMITED,Land Mobile,311
2026-08-23,NZME RADIO LIMITED,Fixed Link,310
2026-08-23,ORION NEW ZEALAND LTD,Fixed Link,304
2026-08-23,INMARSAT NEW ZEALAND LIMITED,Satellite & Space,302
2026-08-23,MEDIAWORKS RADIO LIMITED,Broadcasting,283
2026-08-23,St John,Land Mobile,262
2026-08-23,DEPARTMENT OF CORRECTIONS,Land Mobile,255
2026-08-23,Fire and Emergency New Zealand,Paging,252
2026-08-23,MOUNT CAMPBELL CONNECT LIMITED,Land Mobile,240
2026-08-23,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Aeronautical,238
2026-08-23,NZME RADIO LIMITED,Broadcasting,236
2026-08-23,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Radiodetermination,223
2026-08-23,WIRELESS RENTALS LIMITED,Land Mobile,221
2026-08-23,RADIO NEW ZEALAND LIMITED,Broadcasting,202
2026-08-23,WATERCARE SERVICES LTD,Land Mobile,202
2026-08-23,MEDIAWORKS RADIO LIMITED,Fixed Link,198
2026-08-23,MARITIME NEW ZEALAND,Maritime,197
2026-08-23,Fire and Emergency New Zealand,Land Mobile,193
2026-08-23,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,182
2026-08-23,"STARLINK NEW ZEALAND, UNLIMITED LIABILITY COMPANY",Satellite & Space,180
2026-08-23,TAIT INTERNATIONAL LIMITED,Land Mobile,179
2026-08-23,COLVINS LIMITED,Land Mobile,164
2026-08-23,CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,162
2026-08-23,GISBORNE.NET.N.Z. LIMITED,Fixed Link,162
2026-08-23,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Fixed Link,161
2026-08-23,NZ DEFENCE FORCE HEADQUARTERS,Aeronautical,160
2026-08-23,MARLBOROUGH LINES LIMITED,Land Mobile,157
2026-08-23,INSPIRE NET LIMITED,Land Mobile,154
2026-08-23,Spotlight NZ,Land Mobile,154
2026-08-23,SIGNALS NZ 2025 LIMITED,Land Mobile,153
2026-08-23,SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,152
2026-08-23,WATERCARE SERVICES LTD,Fixed Link,152
2026-08-23,NELSPECS LIMITED,Land Mobile,149
2026-08-23,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,149
2026-08-23,AMAZON KUIPER NEW ZEALAND LIMITED,Satellite & Space,141
2026-08-23,LIGHTWIRE LIMITED,Spectrum Licence,137
2026-08-23,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Land Mobile,137
2026-08-23,DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,134
2026-08-23,ENHANCED SOLUTIONS LIMITED,Fixed Link,133
2026-08-23,NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,132
2026-08-23,WEL NETWORKS LIMITED,Fixed Link,129
2026-08-23,INSPIRE NET LIMITED,Fixed Link,126
2026-08-23,RADIO SYSTEMS LIMITED,Land Mobile,125
2026-08-23,Unifone New Zealand Limited,Fixed Link,122
2026-08-23,TŪ ĀTEA NETWORK SERVICES LIMITED,Paging,120
2026-08-23,AMURI NET LIMITED,Spectrum Licence,117
2026-08-23,TELETRONICS LIMITED,Land Mobile,117
2026-08-23,NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,115
2026-08-23,COGENT LIMITED,Land Mobile,113
2026-08-23,DEPARTMENT OF CONSERVATION,Fixed Link,106
2026-08-23,PRIMOWIRELESS LIMITED,Fixed Link,106
2026-08-23,CHATR COMMUNICATIONS LIMITED,Land Mobile,104
2026-08-23,MARLBOROUGH DISTRICT COUNCIL,Fixed Link,100
2026-08-23,RHEMA MEDIA INCORPORATED,Broadcasting,99
2026-08-23,NZ RED CROSS INC SOCIETY (NATIONAL OFFICE),Land Mobile,98
2026-08-23,TOP ENERGY,Land Mobile,98
2026-08-23,LIGHTWIRE LIMITED,Land Mobile,96
2026-08-23,OCEANA GOLD (NEW ZEALAND) LIMITED,Land Mobile,96
2026-08-23,Downer New Zealand Limited,Fixed Link,95
2026-08-23,St John,Paging,94
2026-08-23,ALCOM COMMUNICATION SERVICES LIMITED,Land Mobile,92
2026-08-23,CITY COMMS LIMITED,Land Mobile,92
2026-08-23,CHRISTCHURCH CITY COUNCIL,Land Mobile,91
2026-08-23,WEL NETWORKS LIMITED,Land Mobile,91
2026-08-23,FONTERRA CO-OPERATIVE GROUP LIMITED,Land Mobile,89
2026-08-23,AIR NEW ZEALAND LIMITED,Land Mobile,88
2026-08-23,AMURI NET LIMITED,Fixed Link,88
2026-08-23,NZ DEFENCE FORCE HEADQUARTERS,Maritime,86
2026-08-23,POWERNET LIMITED,Fixed Link,86
2026-08-23,TAUMATA PLANTATIONS LIMITED,Land Mobile,84
2026-08-23,COMMUNICATE LIMITED,Land Mobile,83
2026-08-23,ULTIMATE MOBILE LIMITED,Spectrum Licence,83
2026-08-23,MAINPOWER NEW ZEALAND LTD,Land Mobile,79
2026-08-23,ULTIMATE MOBILE LIMITED,Fixed Link,78
2026-08-23,WIZWIRELESS LIMITED,Fixed Link,76
2026-08-23,MANAWATU-WANGANUI REGIONAL COUNCIL,Land Mobile,74
2026-08-23,Fire and Emergency New Zealand,Fixed Link,73
2026-08-23,PORT OF TAURANGA LIMITED,Land Mobile,70
2026-08-23,ORION NEW ZEALAND LTD,Land Mobile,67
2026-08-23,OMV NEW ZEALAND LIMITED,Land Mobile,66
2026-08-23,MARLBOROUGH LINES LIMITED,Fixed Link,63
2026-08-23,VECTOR LIMITED,Land Mobile,63
2026-08-23,AURORA ENERGY LIMITED,Fixed Link,62
2026-08-23,NORTHPOWER LIMITED,Land Mobile,62
2026-08-23,COUNTIES ENERGY LIMITED,Land Mobile,61
2026-08-23,MINISTRY OF JUSTICE - COURT SECURITY,Paging,60
2026-08-23,AURORA ENERGY LIMITED,Land Mobile,59
2026-08-23,GENESIS ENERGY LIMITED,Fixed Link,59
2026-08-23,SKY NETWORK TELEVISION LIMITED,Satellite & Space,59
2026-08-23,MERIDIAN ENERGY LIMITED,Land Mobile,58
2026-08-23,WELLINGTON WATER LIMITED,Fixed Link,58
2026-08-23,HAMILTON CITY COUNCIL,Land Mobile,51
2026-08-23,MOUNT CAMPBELL CONNECT LIMITED,Fixed Link,51
2026-08-23,NZ DEFENCE FORCE HEADQUARTERS,Radiodetermination,50
2026-08-23,THE LINES CO LTD,Land Mobile,50
2026-08-23,WELLINGTON WATER LIMITED,Land Mobile,49
2026-08-23,NZME RADIO LIMITED,Land Mobile,48
2026-08-23,TOP ENERGY,Fixed Link,48
2026-08-23,Unifone New Zealand Limited,Spectrum Licence,46
2026-08-23,ASHLEY COMMUNICATIONS LIMITED,Fixed Link,45
2026-08-23,ALPINE ENERGY LTD,Land Mobile,44
2026-08-23,NETWORK WAITAKI LTD,Land Mobile,44
2026-08-23,ALPINE ENERGY LTD,Fixed Link,42
2026-08-23,NETWORK WAITAKI LTD,Fixed Link,42
2026-08-23,AIR NEW ZEALAND LIMITED,Aeronautical,40
2026-08-23,KORDIA LIMITED,Broadcasting,40
2026-08-23,NORTHPOWER LIMITED,Fixed Link,40
2026-08-23,ENHANCED SOLUTIONS LIMITED,Spectrum Licence,38
2026-08-23,THE LINES CO LTD,Fixed Link,38
2026-08-23,VECTOR LIMITED,Fixed Link,37
2026-08-23,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Fixed Link,36
2026-08-23,TELEVISION NEW ZEALAND LIMITED,Satellite & Space,36
2026-08-23,GENESIS ENERGY LIMITED,Land Mobile,34
2026-08-23,MAINPOWER NEW ZEALAND LTD,Fixed Link,34
2026-08-23,ENTAIN NEW ZEALAND LIMITED,Outside Broadcast,33
2026-08-23,MINISTRY OF JUSTICE - COURT SECURITY,Land Mobile,32
2026-08-23,POWERNET LIMITED,Land Mobile,32
2026-08-23,COUNTIES ENERGY LIMITED,Fixed Link,31
2026-08-23,MARITIME NEW ZEALAND,Fixed Link,30
2026-08-23,SKY NETWORK TELEVISION LIMITED,Broadcasting,30
2026-08-23,TELEVISION NEW ZEALAND LIMITED,Broadcasting,30
2026-08-23,MERIDIAN ENERGY LIMITED,Fixed Link,29
2026-08-23,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Fixed Link,29
2026-08-23,TELEVISION NEW ZEALAND LIMITED,Outside Broadcast,27
2026-08-23,COLVINS LIMITED,Fixed Link,26
2026-08-23,ENTAIN NEW ZEALAND LIMITED,Broadcasting,26
2026-08-23,HAMILTON CITY COUNCIL,Fixed Link,26
2026-08-23,INSPIRE NET LIMITED,Spectrum Licence,26
2026-08-23,GENESIS ENERGY LIMITED,Telemetry & Telecommand,23
2026-08-23,MARLBOROUGH DISTRICT COUNCIL,Land Mobile,23
2026-08-23,WIZWIRELESS LIMITED,Spectrum Licence,22
2026-08-23,ENTAIN NEW ZEALAND LIMITED,Fixed Link,21
2026-08-23,KORDIA LIMITED,Land Mobile,20
2026-08-23,OMV NEW ZEALAND LIMITED,Fixed Link,18
2026-08-23,MANAWATU-WANGANUI REGIONAL COUNCIL,Fixed Link,16
2026-08-23,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Outside Broadcast,16
2026-08-23,TAUMATA PLANTATIONS LIMITED,Fixed Link,16
2026-08-23,WATERCARE SERVICES LTD,Telemetry & Telecommand,15
2026-08-23,ALCOM COMMUNICATION SERVICES LIMITED,Fixed Link,14
2026-08-23,CHRISTCHURCH CITY COUNCIL,Fixed Link,14
2026-08-23,COMMUNICATE LIMITED,Fixed Link,14
2026-08-23,GISBORNE.NET.N.Z. LIMITED,Spectrum Licence,14
2026-08-23,KORDIA LIMITED,Outside Broadcast,14
2026-08-23,AMURI NET LIMITED,Land Mobile,12
2026-08-23,CHRISTCHURCH CITY COUNCIL,Spectrum Licence,12
2026-08-23,PRIMOWIRELESS LIMITED,Spectrum Licence,12
2026-08-23,HAMILTON CITY COUNCIL,Telemetry & Telecommand,10
2026-08-23,MARLBOROUGH DISTRICT COUNCIL,Maritime,10
2026-08-23,KORDIA LIMITED,Maritime,9
2026-08-23,OCEANA GOLD (NEW ZEALAND) LIMITED,Fixed Link,9
2026-08-23,SPARK NEW ZEALAND TRADING LIMITED,Land Mobile,9
2026-08-23,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Fixed Link,8
2026-08-23,OMV NEW ZEALAND LIMITED,Radiodetermination,8
2026-08-23,RHEMA MEDIA INCORPORATED,Fixed Link,8
2026-08-23,SPARK NEW ZEALAND TRADING LIMITED,Satellite & Space,8
2026-08-23,TAIT INTERNATIONAL LIMITED,Fixed Link,8
2026-08-23,TELEVISION NEW ZEALAND LIMITED,Fixed Link,8
2026-08-23,NELSPECS LIMITED,Fixed Link,7
2026-08-23,OMV NEW ZEALAND LIMITED,Aeronautical,7
2026-08-23,PORT OF TAURANGA LIMITED,Fixed Link,7
2026-08-23,PORT OF TAURANGA LIMITED,Maritime,7
2026-08-23,RADIO NEW ZEALAND LIMITED,Fixed Link,7
2026-08-23,VITAL LIMITED,Maritime,7
2026-08-23,CANTERBURY COMMUNICATIONS LIMITED,Fixed Link,6
2026-08-23,FONTERRA CO-OPERATIVE GROUP LIMITED,Fixed Link,6
2026-08-23,KORDIA LIMITED,Satellite & Space,6
2026-08-23,MEDIAWORKS RADIO LIMITED,Satellite & Space,6
2026-08-23,TELETRONICS LIMITED,Fixed Link,6
2026-08-23,MARITIME NEW ZEALAND,Aeronautical,5
2026-08-23,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Satellite & Space,4
