observed_date,licence_type,assignment_count,distinct_licensees
2026-08-20,General user licence (Spectrum),8,1
2026-08-20,Aero Mobile (Off Route),7,6
2026-08-20,Fixed >=1 GHz (Uni-directional),6,2
2026-08-20,Space operations earth stations,5,2
2026-08-20,Space operations spacecraft,5,2
2026-08-20,Aero Repeater,4,2
2026-08-20,Aero Repeater - Mobile Transmit,4,2
2026-08-20,Amateur TV Repeater,4,1
2026-08-20,Aero Mobile (Route),2,2
2026-08-20,Radar,2,1
2026-08-21,Other (Spectrum),29653,6
2026-08-21,Land Simplex,13577,2359
2026-08-21,Fixed >=1 GHz (Bi-directional),10724,146
2026-08-21,Land Repeater,10155,871
2026-08-21,Land Mobile - Mobile Transmit,6222,878
2026-08-21,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2740,162
2026-08-21,VHF FM,1793,111
2026-08-21,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-21,Satellite,1346,21
2026-08-21,Paging,1121,99
2026-08-21,Maritime Coast Station,719,51
2026-08-21,Managed Spectrum Park,645,20
2026-08-21,Fixed < 1GHz; BW >50kHz (Uni-directional),618,87
2026-08-21,General user licence (Radio),568,1
2026-08-21,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-21,Aero Base (Off Route),448,71
2026-08-21,Aero Base (Route),324,25
2026-08-21,MF AM,306,31
2026-08-21,Amateur Repeater - Mobile Transmit,290,74
2026-08-21,Amateur Repeater,281,74
2026-08-21,Telemetry/Telecommand (Uni-directional),245,75
2026-08-21,Land Simplex Govt. use only,235,22
2026-08-21,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-21,UHF TV,187,9
2026-08-21,Satellite - Satellite Transmit,168,15
2026-08-21,Maritime Mobile - Mobile Transmit,119,46
2026-08-21,Maritime Repeater,119,46
2026-08-21,HF AM (Radio),103,2
2026-08-21,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-21,Radiodetermination - Mobile Transmit,84,3
2026-08-21,Land Simplex - General Channels,78,16
2026-08-21,"Two Frequency (SSR, DME)",77,3
2026-08-21,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-21,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-21,Radar (Other),48,9
2026-08-21,PRS Repeater,39,37
2026-08-21,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-21,PRS - Mobile Transmit,35,33
2026-08-21,Amateur Digipeater,31,19
2026-08-21,Amateur Fixed,25,3
2026-08-21,Telemetry/Telecommand (Bi-directional),24,6
2026-08-21,Amateur Beacon,22,8
2026-08-21,Meteorological Radar,20,4
2026-08-21,Meteorological Aid (Radiosonde),18,4
2026-08-21,General user licence (Spectrum),8,1
2026-08-21,Aero Mobile (Off Route),7,6
2026-08-21,Fixed >=1 GHz (Uni-directional),6,2
2026-08-21,Space operations earth stations,5,2
2026-08-21,Space operations spacecraft,5,2
2026-08-21,Aero Repeater,4,2
2026-08-21,Aero Repeater - Mobile Transmit,4,2
2026-08-21,Amateur TV Repeater,4,1
2026-08-21,Aero Mobile (Route),2,2
2026-08-21,Radar,2,1
2026-08-22,Other (Spectrum),29653,6
2026-08-22,Land Simplex,13577,2359
2026-08-22,Fixed >=1 GHz (Bi-directional),10724,146
2026-08-22,Land Repeater,10155,871
2026-08-22,Land Mobile - Mobile Transmit,6222,878
2026-08-22,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2740,162
2026-08-22,VHF FM,1793,111
2026-08-22,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-22,Satellite,1346,21
2026-08-22,Paging,1121,99
2026-08-22,Maritime Coast Station,719,51
2026-08-22,Managed Spectrum Park,645,20
2026-08-22,Fixed < 1GHz; BW >50kHz (Uni-directional),618,87
2026-08-22,General user licence (Radio),568,1
2026-08-22,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-22,Aero Base (Off Route),448,71
2026-08-22,Aero Base (Route),324,25
2026-08-22,MF AM,306,31
2026-08-22,Amateur Repeater - Mobile Transmit,290,74
2026-08-22,Amateur Repeater,281,74
2026-08-22,Telemetry/Telecommand (Uni-directional),245,75
2026-08-22,Land Simplex Govt. use only,235,22
2026-08-22,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-22,UHF TV,187,9
2026-08-22,Satellite - Satellite Transmit,168,15
2026-08-22,Maritime Mobile - Mobile Transmit,119,46
2026-08-22,Maritime Repeater,119,46
2026-08-22,HF AM (Radio),103,2
2026-08-22,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-22,Radiodetermination - Mobile Transmit,84,3
2026-08-22,Land Simplex - General Channels,78,16
2026-08-22,"Two Frequency (SSR, DME)",77,3
2026-08-22,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-22,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-22,Radar (Other),48,9
2026-08-22,PRS Repeater,39,37
2026-08-22,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-22,PRS - Mobile Transmit,35,33
2026-08-22,Amateur Digipeater,31,19
2026-08-22,Amateur Fixed,25,3
2026-08-22,Telemetry/Telecommand (Bi-directional),24,6
2026-08-22,Amateur Beacon,22,8
2026-08-22,Meteorological Radar,20,4
2026-08-22,Meteorological Aid (Radiosonde),18,4
2026-08-22,General user licence (Spectrum),8,1
2026-08-22,Aero Mobile (Off Route),7,6
2026-08-22,Fixed >=1 GHz (Uni-directional),6,2
2026-08-22,Space operations earth stations,5,2
2026-08-22,Space operations spacecraft,5,2
2026-08-22,Aero Repeater,4,2
2026-08-22,Aero Repeater - Mobile Transmit,4,2
2026-08-22,Amateur TV Repeater,4,1
2026-08-22,Aero Mobile (Route),2,2
2026-08-22,Radar,2,1
2026-08-23,Other (Spectrum),29653,6
2026-08-23,Land Simplex,13576,2358
2026-08-23,Fixed >=1 GHz (Bi-directional),10704,146
2026-08-23,Land Repeater,10155,871
2026-08-23,Land Mobile - Mobile Transmit,6222,878
2026-08-23,Fixed <1 GHz; BW <=50 kHz (Bi-directional),2740,162
2026-08-23,VHF FM,1793,111
2026-08-23,Fixed Bi-directional Point-to-Multipoint,1644,70
2026-08-23,Satellite,1346,21
2026-08-23,Paging,1121,99
2026-08-23,Maritime Coast Station,719,51
2026-08-23,Managed Spectrum Park,645,20
2026-08-23,Fixed < 1GHz; BW >50kHz (Uni-directional),618,87
2026-08-23,General user licence (Radio),568,1
2026-08-23,Fixed <1 GHz; BW <=50 kHz (Uni-directional),561,45
2026-08-23,Aero Base (Off Route),448,71
2026-08-23,Aero Base (Route),324,25
2026-08-23,MF AM,306,31
2026-08-23,Amateur Repeater - Mobile Transmit,290,74
2026-08-23,Amateur Repeater,281,74
2026-08-23,Telemetry/Telecommand (Uni-directional),245,75
2026-08-23,Land Simplex Govt. use only,235,22
2026-08-23,Fixed < 1GHz; BW >50kHz (Bi-directional),213,14
2026-08-23,UHF TV,187,9
2026-08-23,Satellite - Satellite Transmit,168,15
2026-08-23,Maritime Mobile - Mobile Transmit,119,46
2026-08-23,Maritime Repeater,119,46
2026-08-23,HF AM (Radio),103,2
2026-08-23,"Radiodet - Radio Beacons (VOR, NDB, ILS)",87,4
2026-08-23,Radiodetermination - Mobile Transmit,84,3
2026-08-23,Land Simplex - General Channels,78,16
2026-08-23,"Two Frequency (SSR, DME)",77,3
2026-08-23,Fixed Television Outside Broadcast 2G8 Band,50,3
2026-08-23,Radar (Other),49,10
2026-08-23,Fixed Television Outside Broadcast 7G Band,48,5
2026-08-23,PRS Repeater,39,37
2026-08-23,Fixed Uni-directional Point-to-Multipoint,36,10
2026-08-23,PRS - Mobile Transmit,35,33
2026-08-23,Amateur Digipeater,31,19
