licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
COMTEL SYSTEMS LTD,Land Mobile,Repeater,VHF (30-300 MHz),2,152.9375,162.8
CONED UP TRAFFIC MANAGEMENT SOLUTIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.7188,466.8688
CONNECTM2M LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.4,166.675
CONNECTM2M LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,464.9563,476.2938
CONSET CONSTRUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,489.8188,489.9688
CONTACT ENERGY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2125,150.9875
CONTACT ENERGY LTD NAPIER,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,441.0,446.0063
CONTACT ENERGY LTD NAPIER,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,464.8938,466.6813
CONTRACT RESOURCES (NEW ZEALAND) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,453.4563,453.5313
COROMANDEL CONTRACTORS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,171.825,171.825
COSTCO WHOLESALE NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.9313,488.3313
COUNTRY HELICOPTERS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.6875,153.5938
COUNTRYNET NZ LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,467.4063,472.4313
COUNTRYNET NZ LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,462.2188,478.4188
COWGIRLS INC LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,483.8188,489.9563
CRAIGIEBURN VALLEY SKI CLUB INC,Land Mobile,Simplex,VHF (30-300 MHz),2,150.375,150.6625
CRANROCK OILFIELD SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.5625,170.6125
CRANSWICK ENTERPRISES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,170.75,171.55
CRS SOLUTIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.625,150.7375
CSE Crosscom Pty Ltd,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,167.225,168.475
CSE Crosscom Pty Ltd,Land Mobile,Repeater,VHF (30-300 MHz),2,162.625,163.875
CSI FOODS TRADING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,466.8563,466.8563
CT CIVIL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,453.3438,470.8063
CT CIVIL LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,165.7625,170.8625
CUNNING STUNTS INTERNATIONAL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.7063,483.1063
CV COMPTON LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,453.3438,455.0938
CYBERDYNE GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.3563,461.5188
CYCLE WORLD DUNEDIN LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.3563,458.5188
Chinese Consulate General in Christchurch,Satellite & Space,Unspecified,SHF (3-30 GHz),2,4037.05,6262.05
Civil Aviation Authority of New Zealand,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,868.1063,868.7563
Clutha Land Search and Rescue (LandSAR),Land Mobile,Repeater,VHF (30-300 MHz),2,151.5625,151.725
Clutha Land Search and Rescue (LandSAR),Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.7438,155.9063
Construcciones y Auxiliar de Ferrocarriles,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),2,447.6188,447.7188
Counties Manukau District Health,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,481.0313,481.8063
Counties Manukau District Health,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,475.0438,475.8188
D R DRAINAGE LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.075,150.075
D STUART FORESTRY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.3875,150.3875
DAIKEN NEW ZEALAND LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.7875,153.4938
DAIRY WORKS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.5688,482.6438
DALTON ELECTRICAL COMPANY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.25,150.425
DANIEL LEWIS,Broadcasting,Unspecified,VHF (30-300 MHz),2,92.0,104.0
DAVID JONES (NZ) PTY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,488.3313,488.3563
DAVID PHILIP EDWARDS,Broadcasting,Unspecified,VHF (30-300 MHz),2,90.3,91.1
DAYLE TIMBER LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,477.5688,482.0563
DB BREWERIES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.85,477.6813
DEAN PEMBERTON,Land Mobile,Simplex,VHF (30-300 MHz),2,165.85,170.45
DEAN PEMBERTON,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,449.9438,455.0563
DELTA CONTRACTING (2012) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.05,166.35
DEPARTMENT OF POST LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.6938,466.6938
DGL (NZ) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,483.9563,488.5188
DICKSON GRAY ELECTRICAL LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.775,470.825
DK CONTRACTING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.35,150.7625
DON GRIFFITHS LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.7813,470.7938
DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),2,151.05,163.6375
DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.2313,168.2375
DOVE RADIO COMMUNICATIONS LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,167.2875,167.7625
DOWNTOWN ON BROADWAY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.3938,458.6313
DRILLCO 2019 LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,172.55,172.875
DUNEDIN CITY COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.0188,155.8063
DUNEDIN CITY COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),2,151.625,153.2375
DUNEDIN CITY COUNCIL,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),2,471.25,471.25
DUNEDIN INTERNATIONAL AIRPORT LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,462.3063,462.5313
DUNEDIN INTERNATIONAL AIRPORT LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,467.4938,467.7188
DYNAMIC CONTROLS,Land Mobile,Simplex,VHF (30-300 MHz),2,84.25,150.7375
DYNAMIC CONTROLS,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,414.0375,814.3875
Daniel Ritchie,Land Mobile,Simplex,VHF (30-300 MHz),2,150.8625,153.4938
David A Frost,Land Mobile,Simplex,VHF (30-300 MHz),2,166.05,172.7625
David Inch,Land Mobile,Repeater,VHF (30-300 MHz),2,151.575,163.65
David Inch,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.7563,168.25
Downer New Zealand Limited,Fixed Link,Uni-directional,VHF (30-300 MHz),2,170.3,170.3
Downer New Zealand Limited,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,456.1188,456.1313
Downer New Zealand Limited,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,451.0813,451.0938
Downer New Zealand Limited,Paging,Unspecified,VHF (30-300 MHz),2,160.5875,160.5875
Duncan McCrostie,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.7563,477.8688
E CIVIL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.4063,461.5188
E F HANSEN LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.8625,159.1
EAGARS FUNERALS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.7688,476.1313
EARTHWORK SOLUTIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,165.925,166.6
EAST COAST TELEVISION TRUST,Fixed Link,Bi-directional,SHF (3-30 GHz),2,18360.0,19370.0
EASTERN SOUTHLAND BRANCH NZART INC,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),2,434.85,434.875
EASTERN SOUTHLAND BRANCH NZART INC,Amateur,Repeater,UHF (300 MHz-3 GHz),2,439.85,439.875
EASTLAND GENERATION LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),2,163.1625,165.325
EASTLAND GENERATION LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,167.7625,169.925
ELDERSTOCK LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,488.2438,488.3688
ELDOON FARMS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2,150.925
ELECTRICAL & MACHINERY SERVICES LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,150.75,153.5563
ELECTRICITY ASHBURTON LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,441.4125,446.4188
ELECTRICITY ASHBURTON LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,449.9313,455.2188
ELECTRICITY ASHBURTON LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.1125,150.1125
ELECTRICOM LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,466.7063,466.9563
ELECTRIX LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.1125,170.8625
ELITE MEDICAL SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.25,166.5125
ELITE MEDICAL SERVICES LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.7813,482.8813
ELLIOT BEST,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2625,150.45
ELLIS-LEA FARMS (2000) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,153.4438,153.4438
ENDURANCE LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,170.975,171.975
ENGINEERING SERVICES ROTORUA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,477.6563,477.7063
ENTERPRIZE STEEL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,477.6313,477.6813
ENVIRONMENT CANTERBURY,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.6188,461.5563
ENVIRONMENT SOUTHLAND,Maritime,Repeater,VHF (30-300 MHz),2,160.675,161.5
ENVIRONMENT SOUTHLAND,Maritime,Mobile Transmit,VHF (30-300 MHz),2,156.075,156.9
ENZA  LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,467.3938,472.2188
ENZA  LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,462.2063,478.2063
ENZAFRUIT NEW ZEALAND INTERNATIONAL LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,468.1188,469.7813
ENZAFRUIT NEW ZEALAND INTERNATIONAL LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,462.9313,464.5938
ETTRICK IRRIGATION COMPANY LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,466.9563,466.9938
EVAN JONES CONSTRUCTION LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.9688,483.0938
EVENTS DIRECT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,477.6688,477.9813
EVOLUTION WIRELESS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,451.9813,452.0063
EVOLUTION WIRELESS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,457.0188,457.0438
EWART NZ MANAGEMENT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.4938,461.6938
EXPERT TURF SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,172.8625,172.8875
Eden Park Trust Board,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,489.0188,489.6813
Elanor Investment Nominees PTY LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,464.9438,465.0063
FAR NORTH DISTRICT COUNCIL,Land Mobile,Simplex,MF (300 kHz-3 MHz),2,2.4664,2.4664
FAR NORTH RADIO AND SEA RESCUE INCORPORATED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,421.4375,426.45
FARMLAND FOODS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,463.4688,463.6813
FARMLAND FOODS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,468.6563,468.8688
FARRAH BREADS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,488.3438,488.7563
FAULKS INVESTMENTS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,165.8375,170.625
FEILDTECH COMMUNICATIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.6375,172.9
FIORDLAND FISHERMANS RADIO ASSOCIATION,Maritime,Unspecified,HF (3-30 MHz),2,4.1264,4.4184
FIORDLAND LOBSTER COMPANY LIMITED,Maritime,Unspecified,HF (3-30 MHz),2,4.1264,4.1474
FIORDLAND LOBSTER COMPANY LIMITED,Maritime,Unspecified,MF (300 kHz-3 MHz),2,2.1834,2.4814
FIORDLAND VHF USERS  ASSOCIATION,Maritime,Mobile Transmit,VHF (30-300 MHz),2,156.225,156.325
FIORDLAND VHF USERS  ASSOCIATION,Maritime,Repeater,VHF (30-300 MHz),2,160.825,160.925
FIRE SYSTEM INSPECTIONS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.6188,466.6938
FIRST GAS LIMITED,Fixed Link,Bi-directional,VHF (30-300 MHz),2,162.4125,167.0125
FIRST GAS LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,453.875,458.9125
FIRST GAS LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,478.0313,478.1188
FIRST GAS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,472.0438,472.1313
FISHER AND PAYKEL HEALTHCARE LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,469.7938,472.5188
FISHER AND PAYKEL HEALTHCARE LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,464.6063,478.5063
FLAME BAR AND GRILL (2016) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,458.3813,461.6938
FLETCHER STEEL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,489.0563,489.8188
FLEXIBLE WORKFORCE GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.7938,470.8188
FLEXIBLE WORKFORCE GROUP LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.975,153.5688
FLOCK HILL HOLDINGS,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.4688,155.9188
FLOCK HILL HOLDINGS,Land Mobile,Repeater,VHF (30-300 MHz),2,151.2875,151.7375
FMG INSURANCE LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,477.6938,477.6938
FONTERRA CO-OPERATIVE GROUP,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),2,421.4125,421.4125
FONTERRA CO-OPERATIVE GROUP,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,454.4313,459.4688
FONTERRA CO-OPERATIVE GROUP LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,481.2438,484.4813
FONTERRA CO-OPERATIVE GROUP LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,475.2563,490.4938
FONTERRA LIMITED,Paging,Unspecified,UHF (300 MHz-3 GHz),2,458.55,458.6
FOREST VIEW LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,170.775,170.875
FORESTRY LEASING SOLUTIONS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.2875,166.3875
FREIGHT & BULK TRANSPORT HOLDINGS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,153.5313,153.5563
FRM HOLDINGS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,165.8375,166.4125
FROTANET LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,453.9,458.9375
Far North Districts Amateur Radio Club,Amateur,Repeater,VHF (30-300 MHz),2,146.775,147.1
Far North Districts Amateur Radio Club,Amateur,Mobile Transmit,VHF (30-300 MHz),2,146.175,147.7
G BARBER,Land Mobile,Simplex,VHF (30-300 MHz),2,150.1875,150.1875
GA and NW Coogan Family Trust,Land Mobile,Simplex,VHF (30-300 MHz),2,165.8125,166.1
GASKELL CONTRACTING LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,166.5125,166.5125
GCH AVIATION LIMITED,Aeronautical,Base Station,HF (3-30 MHz),2,3.0334,5.4744
GCH AVIATION LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.675,166.6875
GENESIS ENERGY LIMITED,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),2,455.05,455.125
GENESIS ENERGY LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,86.8188,154.6438
GENESIS ENERGY LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),2,82.85,152.8625
GENESIS ENERGY LIMITED,Telemetry & Telecommand,Bi-directional,VHF (30-300 MHz),2,160.2875,160.2875
GENESIS ENERGY LIMITED,Telemetry & Telecommand,Uni-directional,VHF (30-300 MHz),2,160.1375,160.1375
GENESIS ENERGY LIMITED,Telemetry & Telecommand,Bi-directional,UHF (300 MHz-3 GHz),2,471.2,471.2
GILTRAP RACING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.0813,488.9938
GIS SERVICES LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.3875,150.3875
GISBORNE DISTRICT COUNCIL,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,450.0625,450.0625
GISBORNE DISTRICT COUNCIL,Fixed Link,Bi-directional,SHF (3-30 GHz),2,18140.0,19150.0
GISBORNE DISTRICT COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),2,150.1125,166.7125
GISBORNE.NET.N.Z. LIMITED,Fixed Link,Bi-directional,EHF (>30 GHz),2,73375.0,83375.0
GLEESON & COX TRANSPORT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.5875,150.5875
GLOBAL ENGINEERING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.4313,488.9438
GLOBE WIRELESS (NEW ZEALAND) LTD,Fixed Link,Bi-directional,SHF (3-30 GHz),2,10518.0,10609.0
GOLDEN BAY CEMENT,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,454.3313,459.3688
GOLDEN BAY CEMENT,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2625,150.4375
GOODMAN CONTRACTORS LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,451.8813,469.2313
GPS CONTROL SYSTEMS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,169.025,169.75
GRAINCORP FEEDS LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,489.0063,489.0063
GREENBRIAR LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,84.975,150.5625
GREY DISTRICT COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.3313,155.7063
GREY DISTRICT COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),2,151.15,151.525
GREYMOUTH PETROLEUM ACQUISITION COMPANY LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,449.9313,455.1938
GREYMOUTH PETROLEUM ACQUISITION COMPANY LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,150.275,150.975
GREYMOUTH PETROLEUM LTD,Fixed Link,Bi-directional,SHF (3-30 GHz),2,10755.0,11285.0
GREYMOUTH PETROLEUM LTD,Land Mobile,Repeater,VHF (30-300 MHz),2,151.575,152.65
GREYMOUTH PETROLEUM LTD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,450.6125,450.6875
GREYMOUTH PETROLEUM LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,154.4313,155.7563
GREYMOUTH PETROLEUM LTD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,455.65,455.725
GRIMMER CONTRACTING LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,171.0375,171.1125
GROUND CONNECT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.5563,461.6188
GROUNDFIX LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,455.0938,455.3063
GULF HARBOUR MARINA LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.5563,464.9938
GULFBAY ENTERPRISE LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,456.9313,457.8313
GULFBAY ENTERPRISE LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,451.8938,452.7938
Glendowie College,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,455.0938,458.3938
Graeme Richards,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2,165.8375
Graeme Richards,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,455.0563,458.4563
Graham Knight,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.5438,482.6563
H BLACKBEE CONTRACTORS LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.4625,166.6125
HAAST RESCUE CENTRE LIMITED,Maritime,Mobile Transmit,VHF (30-300 MHz),2,156.025,156.125
HAAST RESCUE CENTRE LIMITED,Maritime,Repeater,VHF (30-300 MHz),2,160.625,160.725
HAGAN FORESTRY LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.3375,153.5313
HALLIBURTON NZ LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,464.9688,466.8813
HAMILTON WORKINGMENS CLUB INC,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.7563,466.9563
HARTY TRAFFIC NZ LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,482.1813,482.5188
HARVESTIT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2875,153.5313
HASTINGS DISTRICT COUNCIL,Fixed Link,Bi-directional,SHF (3-30 GHz),2,18250.0,19260.0
HASTINGS DISTRICT COUNCIL,Land Mobile,Simplex,VHF (30-300 MHz),2,150.0875,166.5
HATUMA LIME CO LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,449.9438,449.9438
HAURAKI DISTRICT COUNCIL,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,485.5188,486.1688
HAURAKI DISTRICT COUNCIL,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,491.5313,492.1813
HAURAKI DISTRICT COUNCIL,Telemetry & Telecommand,Uni-directional,UHF (300 MHz-3 GHz),2,471.15,471.15
HAWERA AERO CLUB INC,Aeronautical,Base Station,VHF (30-300 MHz),2,119.1,130.65
HAWKE'S BAY AIRPORT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.6688,464.9688
HAWKE'S BAY COMMUNITY FITNESS CENTRE TRUST,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,461.7688,464.9688
HAWKES BAY DISTRICT HEALTH BOARD,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),2,450.2813,450.8938
HAWKES BAY DISTRICT HEALTH BOARD,Land Mobile,Repeater,UHF (300 MHz-3 GHz),2,455.3188,455.9313
HAWKES BAY PROTEIN LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,477.6563,482.9938
HAWKES BAY REGIONAL COUNCIL,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,155.5563,168.5375
HAWKES BAY REGIONAL COUNCIL,Land Mobile,Repeater,VHF (30-300 MHz),2,151.375,163.9375
HAWKES BAY REGIONAL COUNCIL,Maritime,Unspecified,VHF (30-300 MHz),2,161.975,162.025
HAWKESWOOD CIVIL LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.1,166.4625
HAWTHORNE GROUP LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.7813,476.1313
HEALTH NEW ZEALAND LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2,153.4313
HEALTHALLIANCE N.Z. LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,466.6938,483.7688
HELI HARVEST LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,150.275,150.8
HELICOPTER CHARTER KARAMEA (2006) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.5375,150.5375
HELICOPTER SERVICES BOP LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,150.45,153.5938
HELIOPS SOUTHLAND LTD,Land Mobile,Simplex,VHF (30-300 MHz),2,166.725,166.725
HELIVENTURES NZ LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,166.25,170.6375
HIBISCUS COAST MOTOR SPORTS CLUB INC,Land Mobile,Simplex,VHF (30-300 MHz),2,150.2125,170.325
HICKFORD LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.35,153.5313
HIDDEN LAKES (2008) LIMITED,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,454.9063,459.9438
HIDDEN LAKES (2008) LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,170.725,170.725
HIGGS CONSTRUCTION LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,471.7313,477.5313
HIGH COUNTRY HARVESTING LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,476.3813,476.3813
HIROCK LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,453.3188,455.2938
HIWAY NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.7813,476.3313
HM LOGGING LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,153.5313,166.6
HOLMES EQUIPMENT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,470.9813,471.7313
HOOD TRANSPORT LIMITED,Land Mobile,Simplex,VHF (30-300 MHz),2,150.3375,153.5313
HORIZON FARMING LTD,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,168.475,169.4125
HORIZON FARMING LTD,Land Mobile,Repeater,VHF (30-300 MHz),2,163.875,164.8125
HOSPITALLER ORDER OF ST JOHN OF JERUSALEM,Land Mobile,Repeater,VHF (30-300 MHz),2,152.15,153.3
HOSPITALLER ORDER OF ST JOHN OF JERUSALEM,Land Mobile,Mobile Transmit,VHF (30-300 MHz),2,153.9313,155.0813
HUTT CITY COUNCIL WELLINGTON WATER MANAGEMENT,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),2,454.8438,459.8813
HUTT VALLEY DHB,Land Mobile,Simplex,UHF (300 MHz-3 GHz),2,454.9938,455.1688
