licensee,service,link_mode,band,assignment_count,min_frequency_mhz,max_frequency_mhz
HAMPTON DOWNS (NZ) LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),78,458.3688,489.9813
RHEMA MEDIA INCORPORATED,Broadcasting,Unspecified,VHF (30-300 MHz),78,88.7,106.4
ULTIMATE MOBILE LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),78,7762.525,23072.0
ENTAIN NEW ZEALAND LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),77,151.2375,165.125
AIR NEW ZEALAND LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),76,449.9313,868.8875
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),76,7201.5,23268.0
COGENT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),76,449.9313,489.9813
WIZWIRELESS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),76,10715.0,19590.0
TAIT INTERNATIONAL LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),74,415.9875,862.0813
TAIT INTERNATIONAL LIMITED,Land Mobile,Mobile Transmit,UHF (300 MHz-3 GHz),74,407.9875,817.0813
CAPITAL COMMUNICATIONS (AUCKLAND)  LTD,Land Mobile,Simplex,UHF (300 MHz-3 GHz),73,477.5563,488.9813
KIWIRAIL,Fixed Link,Bi-directional,SHF (3-30 GHz),73,6034.15,23002.0
AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Radiodetermination,Mobile Transmit,UHF (300 MHz-3 GHz),70,1030.0,1148.0
RADIO NEW ZEALAND LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),70,89.0,105.2
Fire and Emergency New Zealand,Fixed Link,Uni-directional,UHF (300 MHz-3 GHz),69,450.0625,450.2375
LIGHTWIRE LIMITED,Spectrum Licence,Unspecified,UHF (300 MHz-3 GHz),69,2585.0,2615.0
LIGHTWIRE LIMITED,Spectrum Licence,Unspecified,SHF (3-30 GHz),68,3310.0,3330.0
William A BLACK,Land Mobile,Simplex,VHF (30-300 MHz),68,150.075,172.8
Downer New Zealand Limited,Land Mobile,Simplex,UHF (300 MHz-3 GHz),66,453.3438,924.5
SURF LIFE SAVING NEW ZEALAND INCORPORATED,Land Mobile,Repeater,VHF (30-300 MHz),64,151.275,165.3
NEW ZEALAND STEEL LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),63,453.3188,489.9813
POWERNET LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),62,7866.3,22862.0
SUREVISION LIMITED,Land Mobile,Repeater,UHF (300 MHz-3 GHz),62,456.8438,458.0313
COLVINS LIMITED,Land Mobile,Repeater,VHF (30-300 MHz),61,151.0125,165.3125
SMITH CRANE & CONSTRUCTION LTD,Land Mobile,Simplex,VHF (30-300 MHz),61,150.0625,172.85
Downer New Zealand Limited,Fixed Link,Bi-directional,UHF (300 MHz-3 GHz),60,420.1125,924.5
MCS PTT LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),60,453.3938,489.9813
SURF LIFE SAVING NEW ZEALAND INCORPORATED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),60,153.6313,169.9
MINISTRY OF JUSTICE - COURT SECURITY,Paging,Unspecified,VHF (30-300 MHz),59,160.4875,160.4875
NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,Mobile Transmit,UHF (300 MHz-3 GHz),59,433.25,439.975
BRIAN FM LIMITED,Broadcasting,Unspecified,VHF (30-300 MHz),58,88.6,106.5
EVOLUTION WIRELESS LIMITED,Fixed Link,Bi-directional,SHF (3-30 GHz),58,7940.425,23408.0
NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,Repeater,UHF (300 MHz-3 GHz),58,434.8,439.975
NEW ZEALAND POLICE,Aeronautical,Base Station,VHF (30-300 MHz),58,118.1,131.3
SKY NETWORK TELEVISION LIMITED,Satellite & Space,Unspecified,SHF (3-30 GHz),58,3880.0,14480.0
3I OPCO LIMITED,Land Mobile,Simplex,UHF (300 MHz-3 GHz),57,449.7563,868.9125
CIVIL AVIATION AUTHORITY,Aeronautical,Base Station,VHF (30-300 MHz),57,118.0,134.45
COLVINS LIMITED,Land Mobile,Mobile Transmit,VHF (30-300 MHz),57,153.8813,169.9125
NZFM (2022) LIMITED PARTNERSHIP,Land Mobile,Simplex,VHF (30-300 MHz),57,150.0625,166.75
