location,lat,lon,assignment_count,licensees,service
GLENORCHY,-44.84947,168.3907,41,5,Land Mobile
HANMER SPRINGS,-42.51789,172.83357,41,4,Land Mobile
BUTE,-40.88367,175.98136,40,7,Fixed Link
RANGITUMAU,-40.84941,175.73613,40,12,Fixed Link
MT THREAVE,-39.75101,176.78308,40,18,Broadcasting
KAHIKATEA,-41.26554,174.11733,40,7,Fixed Link
REEFTON,-42.12318,171.87763,40,11,Fixed Link
PORT OF NELSON OPERATIONAL AREA,-41.26334,173.25578,40,3,Land Mobile
PORT OF MARLBOROUGH OPERATIONAL AREA,-41.28324,173.98219,40,3,Land Mobile
HURLEYVILLE,-39.63088,174.52212,39,11,Land Mobile
MT PEARCE,-43.71033,172.93545,39,11,Fixed Link
RANGINUI,-38.36522,175.47341,39,5,Land Mobile
JACKSONS LOOKOUT,-39.31078,174.10232,39,5,Land Mobile
WHAKAMARU,-38.40244,175.86631,39,10,Land Mobile
BLAGDON HILL,-39.06989,174.04042,39,4,Land Mobile
TINAKORI HILL,-41.27382,174.76462,39,4,Land Mobile
CHRISTCHURCH AIRPORT,-43.48661,172.5402,38,13,Aeronautical
RAZORBACK,-45.37106,170.716,38,7,Fixed Link
MT TE AROHA,-37.53435,175.74216,38,7,Fixed Link
MARLEYS HILL (ASHPARK),-43.61004,172.63221,38,4,Land Mobile
KINLEITH MILL AREA,-38.27784,175.88493,38,2,Land Mobile
WAIHI,-37.44499,175.87131,38,11,Spectrum Licence
MACRAES FLAT,-45.37756,170.45116,38,1,Land Mobile
HIGHLANDS MOTOR SPORT PARK VICINITY,-45.05,169.18,37,1,Land Mobile
PUTAUAKI,-38.10506,176.73697,37,16,Spectrum Licence
PARAKIORE,-35.65872,174.28155,37,10,Fixed Link
HAMPTON DOWNS MOTOR RACE PARK,-37.35004,175.06742,37,1,Land Mobile
RANGITOTO,-38.94167,175.71758,36,8,Land Mobile
164-166 GLOUCESTER STREET CHRISTCHURCH,-43.5302,172.63902,36,5,Land Mobile
MT PUKETUTU RADIO,-37.1944,175.02289,36,7,Land Mobile
KAITI HILL,-38.67778,178.0312,36,4,Fixed Link
PAHIATUA TRACK,-40.40299,175.72593,36,13,Land Mobile
RAHOTIA,-41.27426,174.16624,36,7,Fixed Link
OBELISK,-45.3219,169.20703,36,11,Broadcasting
INVERCARGILL,-46.40235,168.35437,36,9,Land Mobile
PUKEMORE,-37.531,175.22185,35,7,Land Mobile
TAPANUI,-45.93573,169.28403,35,2,Land Mobile
KRAACKS HILL,-36.374,174.60811,34,8,Fixed Link
MAKARETU(TELECOM),-38.47702,177.58978,34,3,Fixed Link
NORTHLAND AREA,-36.19249,174.3815,34,6,Land Mobile
WHAKAROA,-38.66728,175.95511,34,15,Broadcasting
PORT OF TIMARU OPERATIONAL AREA,-44.37551,171.25261,34,4,Land Mobile
BIG HILL,-44.82369,171.08867,34,8,Fixed Link
MT BUTTERS,-40.55969,176.03777,34,6,Fixed Link
PORT OF BLUFF OPERATIONAL AREA,-46.61205,168.36003,34,4,Land Mobile
MOIRS HILL,-36.46983,174.59953,33,8,Land Mobile
KURANUI,-39.78038,174.84566,33,6,Fixed Link
ROUNDTOP,-43.48987,171.70915,33,9,Fixed Link
SANATORIUM HILL,-37.86251,175.53815,32,5,Land Mobile
QUINNS ROAD MW,-36.94607,174.58278,32,3,Land Mobile
MT MAUNGANUI,-37.65226,176.18831,32,13,Spectrum Licence
KAITAIA,-35.10812,173.26995,32,7,Spectrum Licence
TE ANAU RADIO SITE,-45.41089,167.74835,32,1,Land Mobile
FITZHERBERT,-41.21843,174.95923,32,11,Broadcasting
Ōtaki to North of Levin Highway Project,-40.77469,175.12868,32,1,Land Mobile
WHENUAPAI,-36.7858,174.6331,32,4,Radiodetermination
MT MARY(HIGH),-44.13831,170.27755,32,7,Fixed Link
TE ANAU DOC WORKSHOP,-45.41205,167.73416,31,1,Land Mobile
1266 WEEDONS ROSS ROAD WEST MELTON,-43.47645,172.38765,31,1,Maritime
KAHUI TRIG,-39.31891,173.93593,31,10,Land Mobile
MT CASS,-43.07836,172.82427,31,5,Land Mobile
MT ERINGA,-41.16884,175.6574,31,6,Land Mobile
POPOITI,-41.16413,175.56862,31,10,Broadcasting
OTAHOUA,-40.97573,175.75463,30,7,Fixed Link
FRINGED HILL,-41.30999,173.31758,30,6,Land Mobile
CORONET PEAK KORDIA,-44.91611,168.73983,30,4,Fixed Link
HAYWARDS,-41.14013,174.98993,30,10,Broadcasting
TAUAKIRA,-39.69222,175.21267,30,12,Fixed Link
EDEN PARK,-36.87397,174.74414,30,6,Land Mobile
AWANUI RADIO,-35.08234,173.24182,30,1,Maritime
NELSON,-41.25685,173.28733,30,9,Maritime
TAPUAE,-39.99348,175.72432,29,4,Fixed Link
BELTANA,-42.70923,173.35151,29,6,Fixed Link
SWAMPY SUMMIT,-45.80106,170.48532,29,5,Land Mobile
MT CLIMIE(BCL),-41.14115,175.14857,29,6,Fixed Link
TOURERE,-40.1232,176.37338,28,6,Land Mobile
PORT TARANAKI,-39.05771,174.03374,28,5,Land Mobile
MAROANUI,-38.51812,176.02116,28,9,Land Mobile
WHAKATAU,-38.88281,176.49371,28,5,Fixed Link
MT ROBERTSON,-41.34765,174.02186,28,3,Fixed Link
HENDERSON,-36.86067,174.62826,28,12,Broadcasting
RUAOTUWHENUA,-36.92412,174.55256,28,5,Land Mobile
TE PUROA,-37.70684,175.09344,28,1,Fixed Link
MOERANGI,-38.16665,176.21661,28,9,Land Mobile
MID DOME,-45.58451,168.53728,28,12,Land Mobile
WESTPORT,-41.75683,171.62779,27,6,Spectrum Licence
WHAREKOPAE,-38.47916,177.59038,27,11,Fixed Link
MANGAWHAI,-36.06789,174.56422,27,8,Spectrum Licence
WRIGHT HILL(TX),-41.29631,174.73995,27,3,Land Mobile
MINDEN PEAK (POWERCO),-37.71239,176.05231,27,2,Fixed Link
PUTARURU,-38.08401,175.74202,27,4,Fixed Link
WARD,-41.85205,174.15095,27,5,Fixed Link
HELENSVILLE,-36.69708,174.46249,27,4,Land Mobile
PORT OF NAPIER OPERATIONAL AREA,-39.47075,176.91554,27,3,Land Mobile
CENTRAL NORTH ISLAND,-38.30857,176.17892,27,9,Land Mobile
TE AWAPUTAHI,-40.3849,176.45305,27,9,Fixed Link
WHITE HILL,-45.7647,168.29822,27,7,Fixed Link
MT MAIRE,-39.69151,175.72744,27,5,Fixed Link
NZME DUNEDIN STUDIO,-45.87106,170.51056,27,2,Fixed Link
BLUE DUCK,-42.20346,173.78958,26,6,Fixed Link
TATARAAKINA,-39.04997,176.63043,26,4,Fixed Link
PORT OF TARANAKI OPERATIONAL AREA,-39.05057,174.04215,26,2,Land Mobile
NGONGOTAHA,-38.10502,176.20221,26,7,Fixed Link
MAKARA HIGH,-41.28918,174.70708,26,2,Fixed Link
NEW PLYMOUTH AIRPORT,-39.00968,174.1803,26,6,Land Mobile
MCLEAN PARK,-39.50185,176.9132,26,7,Land Mobile
PIHANGA,-39.04073,175.76897,25,11,Fixed Link
OTAHUHU,-36.95612,174.84627,25,4,Land Mobile
PUKEHOKO,-38.0211,177.02223,25,5,Fixed Link
CAVE HILL,-44.37606,171.0088,25,11,Land Mobile
TAUMATAMAIRE,-38.62631,174.71935,25,6,Land Mobile
TAKORIKA,-41.29998,173.74267,25,9,Land Mobile
MT CLIMIE(TELECOM),-41.15264,175.14372,25,6,Land Mobile
MT HUTT (CANTERBURY COMMUNICATIONS LTD),-43.50502,171.54953,25,2,Land Mobile
WAIHEKE ISLAND,-36.78857,175.02672,24,5,Land Mobile
MT MAUDE KORDIA,-44.6193,169.21973,24,7,Broadcasting
TARANAKI AREA,-39.15398,174.18481,24,7,Land Mobile
PORT OF WANGANUI OPERATIONAL AREA,-39.94848,174.97971,24,1,Land Mobile
PORT OF TARAKOHE OPERATIONAL AREA,-40.82045,172.89408,24,1,Land Mobile
PORT OF TAHAROA OPERATIONAL AREA,-38.16715,174.65524,24,1,Land Mobile
PORT OF ONEHUNGA OPERATIONAL AREA,-36.92723,174.77863,24,1,Land Mobile
PORT OF MARSDEN POINT OPERATIONAL AREA,-35.82016,174.49249,24,1,Land Mobile
PORT OF GREYMOUTH OPERATIONAL AREA,-42.43858,171.19178,24,1,Land Mobile
PORT OF GISBORNE OPERATIONAL AREA,-38.66824,178.0284,24,1,Land Mobile
PORT OF AUCKLAND OPERATIONAL AREA,-36.82752,174.81227,24,1,Land Mobile
BLENHEIM,-41.52703,173.96702,24,6,Spectrum Licence
MATAROA,-39.65026,175.71696,24,6,Land Mobile
MT MARY,-44.13877,170.2776,24,7,Spectrum Licence
REDOUBT RD RESERVOIR,-36.99838,174.9391,24,2,Fixed Link
PORT OF DUNEDIN OPERATIONAL AREA,-45.84705,170.55831,24,1,Land Mobile
WAIKATO HOSPITAL,-37.80427,175.28225,24,5,Land Mobile
MOUTERE HILL,-40.5878,175.24023,24,3,Land Mobile
DUNEDIN AIRPORT,-45.9286,170.20711,24,6,Spectrum Licence
HUKAROA,-39.4621,175.25857,24,9,Fixed Link
HIGHCLIFF (ASHCOMS),-45.8833,170.59605,24,3,Land Mobile
PORT OF WHANGAREI OPERATIONAL AREA,-35.80525,174.31017,24,1,Land Mobile
PORT OF AKAROA OPERATIONAL AREA,-43.88998,172.97891,24,1,Land Mobile
PORT CHALMERS OPERATIONAL AREA,-45.77064,170.71975,24,1,Land Mobile
WHITIANGA MARINA,-36.83531,175.7067,24,1,Maritime
CARDRONA,-44.86985,168.95024,24,6,Fixed Link
MT HORRIBLE,-44.40018,171.07306,24,4,Broadcasting
MT STUART (KORDIA),-46.07576,169.77015,24,1,Fixed Link
MT CAVENDISH,-43.5894,172.71629,24,8,Land Mobile
PORT OF WESTPORT OPERATIONAL AREA,-41.72699,171.58936,24,1,Land Mobile
PORT OF WELLINGTON OPERATIONAL AREA,-41.2618,174.78096,24,1,Land Mobile
BROWNS HILL,-35.36195,173.85185,23,5,Land Mobile
RICHMOND,-43.40967,171.73962,23,7,Spectrum Licence
STRATFORD,-39.34814,174.29468,23,3,Spectrum Licence
PALMERSTON NORTH,-40.36025,175.61351,23,13,Spectrum Licence
WHAKAPUNAKE (EASTLAND NETWORK),-38.82942,177.59665,23,4,Fixed Link
TIKOKOPU,-36.69869,174.48007,23,6,Land Mobile
WAIOURU,-39.48696,175.65937,23,8,Fixed Link
TIWAI POINT,-46.58786,168.38361,23,3,Land Mobile
RAETIHI,-39.43724,175.27436,23,4,Land Mobile
WINTON,-46.11698,168.39372,23,4,Fixed Link
WAIPUNA,-39.43782,175.31329,23,10,Broadcasting
ALEXANDRA,-45.18213,169.37309,23,9,Broadcasting
WAIKERIKERI,-45.1179,169.34944,23,4,Fixed Link
CROMWELL,-45.04629,169.19511,22,8,Broadcasting
KURIWAO,-46.23855,169.37192,22,7,Land Mobile
TORBAY RADIO,-36.69993,174.72332,22,4,Land Mobile
TUKINO,-39.26877,175.64906,22,8,Fixed Link
MIDAS PLACE RAIL OFFICE,-43.54145,172.58324,22,2,Land Mobile
PORTS OF AUCKLAND,-36.84533,174.7769,22,2,Land Mobile
TAUPIRI RADIO,-37.58495,175.17393,22,1,Fixed Link
PANORAMA ROAD (SKY TV SAT),-36.90613,174.826,22,1,Satellite & Space
STATE INSURANCE BUILDING INVERCARGILL,-46.41156,168.34875,22,6,Fixed Link
WELLINGTON AIRPORT,-41.32943,174.81042,22,7,Land Mobile
WELLINGTON DIST AREA,-41.25923,174.87595,22,4,Land Mobile
QUEENSTOWN AIRPORT,-45.02277,168.73844,22,6,Spectrum Licence
WALLACE PEAK,-42.59487,172.8056,22,12,Land Mobile
KLONDYKE ROAD,-37.35483,174.80851,22,8,Land Mobile
WAIMAUKU,-36.77836,174.49013,22,4,Maritime
HILLEND,-44.73019,169.11581,22,9,Broadcasting
TOWAI,-40.44554,174.81691,22,6,Broadcasting
MT GREY (LOOKOUT),-43.13042,172.5471,22,4,Land Mobile
FERRY TERMINAL (TRANZRAIL),-41.26498,174.78687,22,2,Land Mobile
KAIKOURA,-42.41165,173.68916,21,5,Spectrum Licence
TORBAY,-36.70008,174.72316,21,5,Spectrum Licence
MT TUHUA,-38.78187,175.42926,21,7,Fixed Link
PUKEPOTO NO.3,-38.13896,176.3493,21,3,Broadcasting
HUNUA,-37.1006,175.10253,21,3,Fixed Link
MT SMART STADIUM,-36.9181,174.81257,21,7,Land Mobile
MT ALFORD,-43.58912,171.48273,21,5,Land Mobile
WHARITE SOUTH,-40.25612,175.85604,21,5,Broadcasting
WHAKATANE HEADS,-37.94402,177.01362,21,3,Maritime
MT SHRIVES (ASHLEY),-44.67315,170.92823,21,3,Land Mobile
BLUE MOUNTAINS (CHORUS),-45.86595,169.41331,21,5,Fixed Link
PUKEORAPA,-38.93721,177.70512,21,4,Fixed Link
Awarua Earth Station - Atlas Space,-46.52846,168.38035,20,1,Satellite & Space
WELD CONE,-41.84751,174.1705,20,6,Land Mobile
91 GAWLER DOWNS,-43.74704,171.36067,20,2,Fixed Link
TITIRANGI,-38.03179,177.40698,20,12,Fixed Link
Woodville Starlink XL Array #1,-40.3522,175.86679,20,1,Satellite & Space
Te Hana Starlink Array #2,-36.23684,174.51269,20,1,Satellite & Space
MT EGMONT(BCNZ),-39.29021,174.08458,20,3,Fixed Link
MT GREY (MAINPOWER),-43.12143,172.54864,20,7,Land Mobile
Clevedon Starlink XL Array centre,-36.98988,175.05563,20,1,Satellite & Space
TUTARA,-37.80637,178.35877,20,7,Fixed Link
MAUNU,-35.73852,174.23097,20,3,Spectrum Licence
NELSON AIRPORT,-41.29825,173.22276,20,7,Spectrum Licence
TE KAWA,-38.09719,175.29143,20,4,Land Mobile
HUNTERVILLE,-39.93966,175.60172,20,3,Land Mobile
FRINGED HILL (NORTH),-41.30793,173.31784,20,6,Land Mobile
95 MT STUDHOLME,-44.64135,170.91083,20,4,Fixed Link
MT STOKES,-41.09066,174.10156,20,8,Land Mobile
AXIS ENGINEERING AUCKLAND PORTS,-36.84461,174.77571,20,2,Land Mobile
RATAROA,-37.23787,175.29962,20,7,Fixed Link
MANGAKINO,-38.38762,175.7921,20,8,Spectrum Licence
HORORATA STARLINK ARRAY#1,-43.5558,171.81332,20,1,Satellite & Space
WAIROA,-39.0208,177.38806,20,7,Fixed Link
RED HILL,-37.193,175.49857,19,4,Spectrum Licence
MT DIFFICULTY,-45.04013,169.08641,19,5,Fixed Link
MT NICHOLAS,-45.12776,168.40184,19,9,Fixed Link
WITHER HILLS RADIOWORKS (COBB RIDGE),-41.54821,173.98512,19,3,Broadcasting
CONSOLATION PEAK,-44.84597,168.07804,19,4,Fixed Link
PUKEKOHE,-37.20237,174.89377,19,5,Spectrum Licence
KAPUNI UREA PLANT,-39.47699,174.16691,19,1,Land Mobile
MT MAUNGANUI WHARF,-37.65324,176.18592,19,4,Land Mobile
GAWLER DOWNS,-43.77455,171.35598,19,9,Land Mobile
KURIWAO KORDIA,-46.23854,169.37192,19,3,Fixed Link
BLACK BIRCH,-41.75059,173.78191,19,6,Land Mobile
MIDDLEMORE HOSPITAL,-36.96378,174.84056,19,5,Land Mobile
WITHER HILLS,-41.54654,173.97967,19,6,Broadcasting
GREYMOUTH,-42.45042,171.20864,19,9,Spectrum Licence
TARADALE,-39.53738,176.8293,19,4,Fixed Link
POKENO,-37.25855,175.01989,19,5,Spectrum Licence
ASHBURTON,-43.89845,171.75566,19,8,Land Mobile
OHAKEA,-40.20502,175.37912,19,2,Radiodetermination
MASTERTON,-40.95338,175.64876,19,4,Spectrum Licence
TAUPO,-38.69497,176.0578,19,7,Spectrum Licence
TIHIOTONGA,-38.17578,176.23461,19,9,Broadcasting
DUNEDIN,-45.88394,170.43846,19,3,Land Mobile
WESTFIELD RAIL REPEATER,-36.93767,174.83078,18,2,Land Mobile
PUKEWHARARIKI,-36.03552,173.9387,18,5,Land Mobile
TE PUKE,-37.78663,176.27858,18,5,Spectrum Licence
MT ROLLESBY (TELECOM),-44.16107,170.61425,18,6,Fixed Link
TAUWHAREPARAE,-38.26167,178.09531,18,2,Fixed Link
TAKAKA,-40.84503,172.81194,18,8,Fixed Link
GLENBROOK STEEL MILL,-37.20769,174.73038,18,2,Land Mobile
IRIRANGI,-39.48153,175.65046,18,1,Maritime
SOUTHSHORE,-43.5377,172.73783,18,5,Spectrum Licence
KAIAPOI,-43.38589,172.65443,18,4,Spectrum Licence
NORMANDALE,-41.18366,174.89922,18,4,Fixed Link
BOMBAY,-37.18874,174.99696,18,6,Fixed Link
MT EDEN,-36.88187,174.76277,18,5,Spectrum Licence
MT ASHCROFT,-39.95233,175.49129,18,5,Fixed Link
TWO PEAKS,-40.03334,176.65023,18,4,Fixed Link
PALMERSTON NORTH RAILYARD,-40.3443,175.59481,18,2,Fixed Link
TAUMARUNUI KURURAU RD,-38.8855,175.20567,18,7,Broadcasting
ROTARY PARK,-45.88426,170.5463,18,5,Fixed Link
MT HIKURANGI (KING COUNTRY),-38.79189,175.30125,18,4,Land Mobile
PAPAROA(TRANZ RAIL),-42.40556,171.34295,18,6,Land Mobile
MT ALBERT,-38.02679,174.42824,18,3,Spectrum Licence
BAYPARK RACEWAY MT MAUNGANUI,-37.68343,176.22595,18,1,Land Mobile
CAVE HILL JDA,-44.37935,171.01038,18,8,Fixed Link
TAUMATAKARAMU,-39.06591,177.18263,18,2,Fixed Link
REWA,-41.0575,175.9832,18,4,Fixed Link
UPPER PAPAMOA,-37.76768,176.26121,18,2,Land Mobile
TUAMARINA,-41.40083,173.93791,18,6,Spectrum Licence
REMARKABLES SKI FIELD,-45.05577,168.80594,18,5,Land Mobile
RAINBOW MT,-38.31978,176.38792,18,6,Land Mobile
HORNBY,-43.54365,172.52558,18,4,Spectrum Licence
PORT OF WELLINGTON,-41.2749,174.78595,18,3,Land Mobile
NEW ZEALAND SCHOOL OF FISHERIES,-41.27408,173.28746,18,1,Maritime
STOKE,-41.31926,173.2332,17,6,Spectrum Licence
WAINUI,-39.70752,176.91325,17,7,Spectrum Licence
AUCKLAND WHARVES AREA,-36.84195,174.76712,17,2,Land Mobile
PARAKIORE (MAGIC MUSIC),-35.65918,174.28166,17,5,Spectrum Licence
TE WERAITI (POWERCO),-37.82321,175.90685,17,1,Fixed Link
CARTERTON,-41.00001,175.47902,17,5,Spectrum Licence
KAIPARA HILLS ROAD,-36.44277,174.5294,17,3,Land Mobile
"PORTS OF LYTTELTON CONTAINER DEPOT, CHAPMANS RD, CHRISTCHURCH",-43.56639,172.68351,17,1,Land Mobile
AOTEA CENTRE,-36.85192,174.76401,17,3,Land Mobile
EUREKA,-37.70133,175.42056,17,6,Broadcasting
TE WERAITI(TELECOM SOUTH),-37.82288,175.90722,17,2,Land Mobile
AIRPORT SECURITY BUILDING,-37.00568,174.78591,17,1,Land Mobile
WHAKATANE,-37.94935,176.96533,17,7,Spectrum Licence
MT GREY(BCL),-43.12169,172.54765,17,3,Fixed Link
REMARKABLES,-45.06341,168.80113,17,9,Land Mobile
CASHMERE,-43.57746,172.64206,17,4,Fixed Link
NZME STUDIO 200 ARMAGH STREET,-43.52896,172.64058,17,1,Fixed Link
RUAKIWI RESERVOIR,-37.79577,175.27795,17,1,Land Mobile
AUCKLAND,-36.9187,174.75136,17,5,Aeronautical
TAIRUA LOOKOUT,-36.97147,175.81413,17,6,Land Mobile
GLEESON AND COX QUARRY,-37.59236,175.14914,17,1,Land Mobile
NZME VICTORIA STREET STUDIO,-36.847,174.75906,17,1,Fixed Link
MT STUDHOLME(BCL),-44.64126,170.91147,17,5,Fixed Link
238 MARINE PARADE BLUFF,-46.60269,168.35134,17,2,Maritime
MANAWAHE TELECOM,-37.98227,176.68505,17,6,Broadcasting
KAIKORAI VALLEY,-45.8779,170.46482,17,3,Spectrum Licence
WAIKATO UNIVERSITY,-37.78861,175.31825,17,4,Spectrum Licence
DALGETY RANGE,-44.23994,170.61367,17,2,Land Mobile
FOREST HEIGHTS(TELECOM),-40.84888,175.10546,17,6,Land Mobile
MAUNGATAUREIA,-35.16692,173.4747,17,5,Land Mobile
MT THREAVE NORTH,-39.7484,176.78551,17,1,Fixed Link
LITTLE MT IDA,-44.95712,170.06601,17,7,Fixed Link
"PORTS OF LYTTELTON CITY CONTAINER DEPOT, 686 JONES RD, ROLLESTON",-43.58086,172.3932,17,1,Land Mobile
ERICSSON STADIUM,-36.91784,174.81059,17,2,Land Mobile
HOKITIKA,-42.71438,170.97634,17,3,Spectrum Licence
MORRINSVILLE,-37.66524,175.52489,17,5,Spectrum Licence
NORTH ROUGH RIDGE,-45.03342,169.93237,17,7,Land Mobile
TOKOMARU EAST,-39.77801,175.04447,17,1,Land Mobile
CASS PEAK,-43.63602,172.62408,17,4,Land Mobile
PARIKANAPA,-38.742,177.70818,17,9,Fixed Link
AIRSTRIP HILL IWITAUA RD,-35.14351,173.5961,17,1,Amateur
PINEHILL,-36.7266,174.73499,16,7,Spectrum Licence
WANAKA AIRPORT (WANAKA FLIGHTSEEING OFFICE),-44.72366,169.24508,16,2,Land Mobile
REMUERA,-36.87798,174.79489,16,6,Spectrum Licence
LONG GULLY,-44.55772,169.71275,16,4,Fixed Link
ASHCOTT,-39.94748,176.34307,16,1,Fixed Link
SHEERDOWN HILLS,-44.69492,167.92901,16,3,Land Mobile
NATIONAL PARK,-39.17793,175.38784,16,8,Fixed Link
BLUFF HILL,-43.89431,171.33172,16,7,Fixed Link
MAUNU MT,-35.73839,174.23077,16,3,Land Mobile
Awarua Starlink XL Array centre,-46.53053,168.38307,16,1,Satellite & Space
BLUFF HILL (AMATEUR),-46.61536,168.33906,16,6,Land Mobile
QUEENSTOWN AIRPORT TOWER,-45.02127,168.73839,16,4,Fixed Link
UTIKU,-39.72843,175.88056,16,5,Fixed Link
PASSIVE LEANING PEAK,-45.51498,167.27104,16,4,Fixed Link
HASTINGS,-39.64247,176.84174,16,3,Spectrum Licence
CLEVEDON,-36.99303,175.04854,16,5,Spectrum Licence
TE RERE HAU WIND FARM NORTH RANGE ROAD,-40.38795,175.73914,16,1,Fixed Link
PAPATOETOE,-36.97165,174.8618,16,4,Spectrum Licence
MT HUKAROA,-39.46204,175.25841,16,4,Fixed Link
HAMILTON CAX,-37.78887,175.28142,16,4,Land Mobile
Puwera Starlink XL Single array centre,-35.79346,174.30074,16,1,Satellite & Space
Hinds Starlink Array #1,-44.00742,171.57174,16,1,Satellite & Space
TE KUITI STARLINK ARRAY#1,-38.30262,175.14434,16,1,Satellite & Space
PUKEKURA,-37.95938,175.51704,16,4,Spectrum Licence
PARAPARAUMU,-40.91759,175.00414,16,5,Spectrum Licence
OHOPE BEACH,-37.97265,177.06616,16,4,Spectrum Licence
