licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
434138,426445,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM433",105.6,"MT JOWETT","Current","TX",false
434137,426461,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM435",105.7,"SUGARLOAF","Current","TX",false
434136,426476,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM445",106.2,"SKYTOWER","Current","TX",false
434135,426467,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM447",106.3,"FOREST HEIGHTS","Current","TX",false
434134,426458,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM433",105.6,"GRAMPIANS","Current","TX",false
434133,426453,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM431",105.5,"CROMWELL","Current","TX",false
434132,426460,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM439",105.9,"CEMENT LEAD ROAD RESERVOIR","Current","TX",false
434131,426482,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM207",94.3,"ROXBURGH","Current","TX",false
434130,426455,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM441",106.0,"RATAROA","Current","TX",false
434129,426452,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM327",100.3,"WHANGAMATA SOUTH","Current","TX",false
434128,426423,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM159",91.9,"CROMWELL","Current","TX",false
434127,426494,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM243",96.1,"MT STUART","Current","TX",false
434126,426459,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM099",88.9,"MT STUART","Current","TX",false
434125,426439,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM315",99.7,"GAWLER DOWNS","Current","TX",false
434124,426447,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM285",98.2,"HUKAROA","Current","TX",false
